t,Compound_1_Obs,Compound_2_Obs
0,2.65993778645359,0.0209240173551501
20,2.1808961900374,0.063963424908081
40,2.39054238810024,NaN
45,NaN,0.580183406709196
65,1.6479772719696,NaN
70,NaN,0.566525240638596
85,1.28780485820132,NaN
95,NaN,1.51046029082863
100,1.61761805528375,0.979224660403348
150,0.998079254572066,1.77408430745271
200,0.856805316203172,2.37572417034055
250,0.715195707803483,3.08355662437043
300,0.655680028741701,3.12400354908047
350,0.121908705157672,3.36742716737532
450,0.174525366570645,3.75690776964761
