t,X_protein_Obs,Y_protein_Obs,Z_protein_Obs,GFP_Obs,X_mRNA_Obs,Y_mRNA_Obs,Z_mRNA_Obs,GFP_mRNA_Obs
0,329.533253068935,-534.83383723917,-251.171246303102,-8.02069404944004,187.847588575008,1091.85497190675,782.988164277271,2.13970698660166e-05
5.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.17613292328599e-06
10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.9459852416653e-07
20,NaN,NaN,NaN,NaN,-9.95415716715856,-34.3081364182197,4.73606152322177,4.64153278584504e-07
25,1919.51417140669,NaN,NaN,NaN,NaN,NaN,NaN,-3.78413540940911e-07
30,NaN,10222.2582499722,NaN,NaN,NaN,NaN,NaN,NaN
35,NaN,NaN,6149.48128301115,NaN,NaN,NaN,NaN,1.66109151641094e-07
40,NaN,NaN,NaN,NaN,-3.21271471958117,-84.8502356260348,-40.9323002080317,2.83525301202241e-07
45,1634.70120897159,NaN,NaN,10.5268658248457,NaN,NaN,NaN,NaN
50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.37229511874426e-07
60,NaN,NaN,NaN,NaN,9.66775329753049,NaN,12.3910901225201,NaN
65,NaN,4870.56625015138,NaN,NaN,NaN,-52.8374150922389,NaN,-4.64940686690897e-07
70,1093.00508499139,NaN,4051.86602999431,NaN,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,-2.08005224874782,NaN,27.1338387701862,NaN
90,NaN,NaN,NaN,NaN,NaN,-49.5480737416701,NaN,NaN
95,NaN,NaN,NaN,9.52146475944179,NaN,NaN,NaN,NaN
100,587.529036269805,1986.37717327123,2347.71936353188,NaN,-24.5452074428362,-33.5647991844377,-16.5819806040166,NaN
150,229.591096465666,428.443078323222,254.531373325085,19.9161743262907,3.7144834697207,-29.3345709558204,23.1757501314024,NaN
200,197.883886422483,604.058038891659,-376.572430226579,33.6147841630005,5.64272831925654,35.8475240792851,12.538638607898,NaN
250,634.133213644157,1290.94274896261,555.155157435292,19.1399223924737,9.84840278942225,-33.1531357486078,19.3697138459578,NaN
300,507.666712861834,-346.198890725702,334.066772133492,NaN,7.59065391004238,-30.4300709009907,25.4506023178365,NaN
350,199.304871059066,NaN,322.501491423658,10.9912150310333,-2.62158507169638,9.40889999739504,NaN,NaN
400,160.910893650733,655.429381283106,NaN,30.2646743121862,NaN,NaN,NaN,NaN
450,524.857460287998,1087.44883186045,778.116970520622,NaN,NaN,NaN,NaN,NaN
500,NaN,NaN,NaN,10.9740892422735,NaN,NaN,NaN,NaN
550,NaN,1685.68694761533,767.360748270982,NaN,NaN,NaN,NaN,NaN
600,NaN,NaN,NaN,23.7811027446347,NaN,NaN,NaN,NaN
700,NaN,NaN,NaN,10.970204034758,NaN,NaN,NaN,NaN
850,NaN,NaN,NaN,16.0298394691039,NaN,NaN,NaN,NaN
1000,NaN,NaN,NaN,18.69426849379,NaN,NaN,NaN,NaN
