t,TGFb_pRec_Obs,geneF_Obs,geneH_Obs,geneL_Obs
0,0.00318234903755012,0.458070905899207,1.02553173944236,0.961497643554358
30,NaN,NaN,0.871344999072149,NaN
60,NaN,12.2152584596525,NaN,NaN
65,NaN,NaN,0.683901277399484,NaN
70,NaN,NaN,NaN,0.448881987351805
75,0.105553791445874,NaN,NaN,NaN
100,NaN,10.8119576330549,0.663764999852455,NaN
150,0.0870392552295864,NaN,0.610114073757737,0.279054825133599
200,NaN,10.6116161656495,0.858343943851871,0.113744352516733
250,0.0510680353036266,10.6870182949245,0.660728957975646,NaN
300,0.0450718694514863,NaN,0.740106680647245,0.104170497026453
350,NaN,11.5430714949473,0.752654800034341,0.152331040059798
400,0.0323151189180539,11.1719074824361,NaN,NaN
450,NaN,NaN,0.853623686492987,0.223714600768711
500,0.0215929458204246,11.1269926290917,NaN,NaN
550,NaN,NaN,NaN,0.26987807910367
600,NaN,9.49108718072757,NaN,NaN
650,0.00587622751101116,NaN,NaN,NaN
700,NaN,NaN,NaN,0.305882023868622
750,NaN,10.4272970547052,NaN,NaN
800,0.0163306713622149,NaN,NaN,NaN
850,NaN,7.67237948224156,NaN,0.40633200671441
950,0.00838685196306183,NaN,NaN,NaN
1000,0.0040498521954054,7.2492897592693,NaN,0.451920280019676
1500,0.00548878049989411,5.24233664800105,NaN,0.544888556698168
