t,TGFb_pRec_Obs,geneF_Obs,geneH_Obs,geneL_Obs
0,0.0610317880864312,1.20830718698985,1.03949590138311,1.06219317261957
9,NaN,1.01229697812405,NaN,NaN
10,-0.039744549150224,NaN,0.96550616880688,1.04195180346628
20,NaN,1.09015159869988,NaN,NaN
25,-0.0371307850948129,NaN,1.00711779033863,0.811433180040568
30,NaN,0.851029314872187,NaN,NaN
35,NaN,NaN,1.17155159448006,0.94053745309545
40,-0.0569325098427554,0.832902439392706,NaN,NaN
50,NaN,NaN,1.04063772052482,0.860188829684785
55,-0.0546882803607863,0.851122049396886,NaN,NaN
65,NaN,1.14539478800432,1.04637856847748,NaN
70,0.153623967632317,NaN,NaN,1.14917944694666
85,NaN,0.930988402425415,1.12702295693047,0.924757441139312
90,-0.143821839363692,NaN,NaN,NaN
