t,TGFb_pRec_Obs,geneF_Obs,geneH_Obs,geneL_Obs
0,0.000978319875178115,1.12296192528889,0.955792092817128,0.978277910750704
10,-0.208847130625911,0.880977088843515,NaN,NaN
15,NaN,NaN,0.904558065365632,1.0779673049003
20,NaN,0.873152951010201,NaN,NaN
25,0.086234756799752,NaN,NaN,0.834390620705525
30,NaN,1.04070223375206,0.943198617106706,NaN
35,-0.039829939684161,NaN,NaN,NaN
40,NaN,NaN,NaN,1.19339189013781
45,NaN,0.884934975653173,0.849106469287399,NaN
50,0.115220437886794,NaN,NaN,NaN
60,NaN,0.930372410249037,NaN,0.94834167353216
65,NaN,NaN,0.823348970470212,NaN
70,0.0186750047363631,NaN,NaN,NaN
75,NaN,1.08284896660642,NaN,NaN
80,NaN,NaN,NaN,0.949708411996041
85,NaN,NaN,0.989436868796146,NaN
90,0.147867071786494,NaN,NaN,NaN
100,NaN,NaN,1.0086082044903,0.887953601629762
