t,TGFb_pRec_Obs,geneF_Obs,geneH_Obs,geneL_Obs
0,0.00126191653342256,1.05359677969457,1.34676222990621,1.05824203670065
45,NaN,NaN,2.73368642417192,NaN
50,NaN,15.4525017461941,NaN,NaN
60,NaN,NaN,NaN,0.367732625946707
65,0.122492826895659,NaN,NaN,NaN
95,NaN,NaN,2.75580902591564,NaN
100,NaN,15.4007964147754,NaN,0.165440409535584
150,0.0869900131340811,14.4276631267442,2.54415017455927,NaN
200,0.0713778500591947,19.5626889975696,2.64392437080238,0.0494929729365616
250,0.0560571952929194,14.112876910627,2.48609752764414,0.0674128568229294
300,NaN,NaN,2.28833689361809,NaN
350,0.0337366439874113,16.0697856194943,2.68939985499995,0.0380463075195443
400,NaN,16.4056196329594,NaN,NaN
450,0.0243176335505805,NaN,2.37670832436659,0.10249479693345
500,NaN,10.6628473815947,2.1245373665978,NaN
550,0.0129564233204068,19.2182860901228,NaN,0.118452894772001
600,NaN,NaN,1.822159793022,NaN
650,0.0117662866261379,16.283100011739,NaN,0.0656246678128323
700,NaN,NaN,1.44952352038089,NaN
800,0.0116462859880946,13.2132222206489,NaN,0.14582571354187
850,NaN,NaN,2.46808569098954,NaN
900,NaN,14.0459794712421,NaN,NaN
950,0.0101948100545151,NaN,2.03074334606382,NaN
1000,0.00170324205626547,12.9421717086599,1.66292617158101,0.170006078819926
1500,0.000326764710473455,10.3756779012478,1.75142565358842,0.287033296983718
