t,TGFb_pRec_Obs,geneF_Obs,geneH_Obs,geneL_Obs
0,0.00278783843000902,1.98398328451294,1.17007245039384,0.988166658230614
50,NaN,12.3840846088128,NaN,NaN
65,NaN,NaN,0.900264672611105,NaN
70,NaN,NaN,NaN,0.434372024012388
80,0.106778313512871,NaN,NaN,NaN
100,NaN,12.200057300609,NaN,NaN
150,0.0892061608659536,10.6537619778183,0.758069671143961,0.203808271059931
200,NaN,12.0363879025978,0.726607757445352,0.101016750636102
250,0.0592771822715387,11.7816612182069,0.699282359628259,NaN
300,NaN,12.3298881955139,NaN,0.162805286571976
350,0.0281516782569596,NaN,0.942879260671544,0.200305724163457
400,NaN,10.5727436264655,NaN,NaN
450,0.0268103099401731,12.4206225235231,0.831410967499406,0.166141537381652
550,NaN,9.88201480829246,0.748426084891892,0.198590521001751
600,0.0290985909466071,NaN,NaN,NaN
650,NaN,12.288038080519,0.889250411687101,NaN
700,NaN,NaN,NaN,0.282454469700999
750,0.00883094669831438,11.9099145385081,NaN,NaN
800,NaN,NaN,0.960008250219709,NaN
850,NaN,NaN,NaN,0.268504861681661
900,0.00689799705355342,8.91770831959084,NaN,NaN
950,NaN,NaN,1.01476189083895,NaN
1000,0.0119487085117605,8.89126560444999,0.942338321310985,0.394911167802751
1500,0.00575410829279,NaN,1.11308697482159,0.502576258821093
