t,TGFb_pRec_Obs,geneF_Obs,geneH_Obs,geneL_Obs
0,-0.281562916601251,1.05829072145954,0.80753353154839,0.957391033063373
8,0.00146556643585299,NaN,NaN,NaN
10,NaN,0.738849527075622,0.941208148759309,NaN
15,0.156934564110799,NaN,NaN,0.900120266126996
20,NaN,NaN,0.878036817772471,NaN
25,-0.131769030032638,0.966581231343527,NaN,0.999978146680391
35,0.00120355863322724,0.68815820200093,0.825743733345674,NaN
40,NaN,NaN,NaN,1.09291119314133
45,-0.122990863264521,NaN,NaN,NaN
50,NaN,1.12274842185418,1.07732243225934,NaN
55,NaN,NaN,NaN,1.03800783666874
60,-0.109499935156423,NaN,NaN,NaN
65,NaN,NaN,0.936061020211224,NaN
70,NaN,0.942457643001791,NaN,NaN
75,-0.000638734123751064,NaN,NaN,1.08959966698054
80,NaN,NaN,1.16176623156619,NaN
90,NaN,0.832659657968915,NaN,NaN
100,NaN,NaN,NaN,0.921017881001241
