t,TGFb_pRec_Obs,geneF_Obs,geneH_Obs,geneL_Obs
0,0.0211104763591473,1.01062555005003,0.984972907731005,0.959021134163694
10,NaN,0.857081716935111,1.15173595718068,0.963298032883593
15,0.0869144365358348,NaN,NaN,NaN
20,NaN,1.03988832019983,NaN,0.919327886812919
25,NaN,NaN,0.817659662146051,NaN
30,0.0738964993257484,NaN,NaN,NaN
35,NaN,0.946994796851857,NaN,1.00397206102419
40,NaN,NaN,1.15574760236917,NaN
45,0.0838722277388506,NaN,NaN,NaN
50,NaN,1.00330254517684,NaN,0.825660982367216
55,NaN,NaN,1.28426250724177,NaN
65,0.022867164614456,1.08937875623186,NaN,0.89050587803308
75,NaN,NaN,0.883558567218994,NaN
80,NaN,NaN,NaN,1.00079584033359
85,NaN,0.943168902101045,NaN,NaN
90,-0.104026956859932,NaN,NaN,NaN
95,NaN,NaN,1.08393505720186,NaN
