t,TGFb_pRec_Obs,geneF_Obs,geneH_Obs,geneL_Obs
0,0.000978955091571182,-1.13056821741608,1.08878541999794,1.00985415390091
50,NaN,11.678126868022,NaN,NaN
60,NaN,NaN,NaN,0.453786258514749
70,0.115854519706749,NaN,NaN,NaN
75,NaN,NaN,0.734541698146697,NaN
95,NaN,12.5465216762059,NaN,NaN
100,NaN,NaN,NaN,0.320662731101259
150,0.0928327718618387,10.8508638695793,0.835755390542225,NaN
200,0.0797066510454541,12.5919881989987,NaN,0.0462348378704228
250,NaN,10.6905329612965,0.793859092212002,0.177088139417229
300,0.0432702737232405,10.2638239423824,0.821314348628971,NaN
350,NaN,NaN,NaN,0.232643010474406
400,0.0334181872404179,8.53136544213434,0.583594262356004,0.176627444736957
450,NaN,12.1125711608447,NaN,NaN
500,0.0308614865297339,10.4711305177519,0.881249584491338,0.203459491449899
600,0.0122792596678752,12.3900751532871,NaN,0.348337702753832
650,NaN,NaN,0.762037575382571,NaN
700,NaN,9.3113360247861,NaN,NaN
750,0.0132431518141015,NaN,NaN,0.329630760397541
800,NaN,8.55677254870732,0.924688566600195,NaN
850,NaN,NaN,NaN,0.266236133357019
900,0.0160931531101194,NaN,NaN,NaN
950,NaN,9.70941750189,0.797744190903068,NaN
1000,0.0105228136212744,6.28340055719226,1.00318133611271,0.315424422947796
1500,0.00847333205634059,6.48329956334852,0.681548405101698,0.463297187504173
