t,pS3_Obs,ppS2_S4_S4_Obs
0,0.0656322042226939,-0.321095432550075
50,NaN,10.9704152225113
70,0.59595772508906,NaN
100,NaN,9.36463537943246
150,0.557348710532445,9.71954106710342
200,0.45323986449975,8.86038660192481
250,NaN,9.05353850418031
300,0.381786311346079,NaN
350,NaN,5.61331432646839
400,0.247875691584658,7.37692086789554
500,0.246741486072888,7.03338566465643
600,0.164967878429881,6.69615666044946
700,0.152275686893334,7.14619683405855
800,NaN,4.74927432202936
850,0.173523864956531,NaN
950,NaN,4.92176637225747
1000,-0.0240777275196159,3.86761308495698
1500,0.0821974929689888,NaN
