t,STAT5_Obs,SOCS3nRNA4_Obs,SOCS3RNA_Obs
0,3.76117994340278,0.00146594986257336,0.0266546216119124
10,NaN,0.0017449776893095,NaN
15,5.18085059192781,NaN,0.0238623619018566
25,4.6452540740867,0.00164618173651871,NaN
30,NaN,NaN,0.0226230321774131
40,3.69144463962141,0.00149892476781522,NaN
50,NaN,NaN,0.0192392000676303
55,NaN,0.00166842746457229,NaN
60,4.40890533504712,NaN,NaN
70,NaN,NaN,0.0229857589956066
75,NaN,0.00177675160649226,NaN
80,2.58353536007793,NaN,NaN
90,NaN,NaN,0.0222652913937682
95,NaN,0.000809373085451607,NaN
100,3.54476169239685,NaN,0.0241770594019885
