t,EpoRpJAK2_Obs,CISHnRNA4_Obs,SOCS3RNA_Obs
0,8.8400210569981e-05,2.65697216494195e-05,0.00832418006750821
20,0.019485770305359,NaN,NaN
25,NaN,0.00111931862394299,0.0151188395884514
35,0.0092238798106282,NaN,NaN
45,NaN,0.00175689484193587,0.00977109082487133
55,0.0267514076471367,NaN,NaN
70,NaN,0.00378511257983454,NaN
75,NaN,NaN,0.0104008751780356
80,0.0120909676496323,NaN,NaN
100,0.0238309416413989,0.00204119027659581,0.0149929966008686
150,0.0207080694402675,0.00112897526903523,0.00649780319928048
200,0.0126993940400826,0.001022503318465,0.0157813042299244
250,0.0135066493303234,0.00114661655530412,0.00649246323781206
300,NaN,0.000904761935994133,0.00984918790851179
350,NaN,NaN,0.015004406409855
400,NaN,0.000713816768558744,NaN
450,NaN,NaN,0.00862792911102867
