t,STAT5_Obs,SOCS3nRNA4_Obs,SOCS3RNA_Obs
0,4.19522775125057,0.00167526779431986,0.0208046701288406
10,NaN,0.00133527435039574,NaN
20,2.22085146170452,NaN,0.0223474281368467
25,NaN,0.00155144417532987,NaN
35,NaN,0.001858229299982,NaN
40,2.18481029556546,NaN,NaN
45,NaN,NaN,0.0284960614527015
50,NaN,0.00189637007614707,NaN
60,3.48583074583382,NaN,NaN
65,NaN,0.00189811880404536,0.0180662425022382
80,NaN,0.00151769326995698,NaN
85,4.50801877560827,NaN,NaN
95,NaN,NaN,0.0227270130664265
100,3.63572210315661,0.000797834055116446,0.0222529067417477
150,3.38938252499184,0.00113371052640846,0.0273789299869749
200,4.02582514987729,NaN,0.0189546693490935
250,NaN,NaN,0.0223518000385014
300,NaN,NaN,0.0267888142455339
