t,EpoRpJAK2_Obs,CISHnRNA4_Obs
0,0.00101521242745451,0.000128175778742163
8,0.0168171533546195,NaN
15,0.0116532881681788,0.000273990243043339
25,0.0138552593874744,0.000629526476834248
35,0.0164383904142616,NaN
40,NaN,0.00161500353452204
45,0.013316211142576,NaN
55,NaN,0.00163473492082605
60,0.0122144432935414,NaN
75,0.010935521105958,0.00161924186660623
90,0.0107891752296759,NaN
95,NaN,0.00101902766870727
100,0.0108474143789675,0.00132005651920309
150,NaN,0.000612517263885826
200,NaN,0.000896403483645592
