t,STAT5_Obs,SOCS3nRNA4_Obs,SOCS3RNA_Obs
0,3.87012445753742,0.00214221876850454,0.0140001000819611
8,NaN,0.00160344598758821,NaN
15,NaN,0.00157970463959722,NaN
20,NaN,NaN,0.0217149203811026
25,NaN,0.00113910280042017,NaN
30,3.16659741651897,NaN,NaN
35,NaN,0.0017497586026622,0.0331643451115547
45,NaN,0.00219054877280549,NaN
55,3.6758044845729,0.00183950338736005,0.0206789288404818
70,NaN,0.00167179480226071,NaN
75,NaN,NaN,0.0259039144849842
85,3.63026276478582,0.00128898785524626,NaN
95,NaN,NaN,0.0202491610634117
100,3.14764014692655,0.00171902557695569,0.0226987091115015
150,3.21066055133529,0.0016672151716681,0.0144251250485885
200,4.25411790467329,NaN,0.0222255789134126
250,3.29223510581814,NaN,0.0283901707525513
300,3.67061266147919,NaN,0.0271603655875881
350,3.0109013226771,NaN,NaN
400,3.81401247803037,NaN,NaN
500,3.47959766377281,NaN,NaN
