t,EpoRpJAK2_Obs,CISHnRNA4_Obs
0,0.000173308023096434,0.000318833160602886
8.5,0.208944330335042,NaN
10,NaN,0.000765850206282623
15,0.0461466037158219,NaN
25,0.106536542687773,0.00495708250944414
35,0.143200410672655,0.011678276927325
50,0.0634597829088495,0.022085263512058
60,0.176950096317702,NaN
65,NaN,0.0374477360118861
75,0.154362165157938,NaN
80,NaN,0.0164578321335696
95,0.0956784011176873,NaN
100,0.0665855812558349,0.00753868067758843
150,0.0811341801409118,0.0154613550588535
200,NaN,0.00510494465894229
