t,EpoRpJAK2_Obs,CISHnRNA4_Obs
0,-0.000690212066909204,5.92600026663959e-05
10,0.0210110394043048,NaN
20,0.014038492600225,0.000153184496738045
35,0.0120893106657221,NaN
40,NaN,0.000263002442205794
50,0.0087357267656472,NaN
60,0.00970756461300618,0.000268361877852541
80,0.0135820199988494,NaN
85,NaN,0.000330530028251345
95,0.010705396560151,NaN
100,0.00880445608157397,0.000304181339046292
150,0.0081795351171321,0.000215384244019265
200,NaN,0.000187462908141889
250,NaN,0.000114338983454048
300,NaN,0.000145660725988483
