t,STAT5_Obs,SOCS3nRNA4_Obs
0,8.93075123837895,0.00299855340109011
8.5,NaN,0.00482401488905564
15,NaN,0.000807582476185363
25,NaN,0.00148825386373305
35,1.74590948562869,0.00118622554054489
50,NaN,0.0035356512168408
60,NaN,0.00188801741814495
75,1.57301935868441,0.00126665050880604
95,NaN,0.00110257546500498
100,2.01630265016982,0.00125803275658627
150,3.19048588069714,NaN
200,3.98423001080058,NaN
250,3.18676361439804,NaN
350,5.62700379798885,NaN
400,6.77681699833697,NaN
500,3.31935215033872,NaN
600,4.37416328441549,NaN
