t,CISHnRNA4_Obs,SOCS3nRNA4_Obs
0,0.000150351446688232,0.0372294984996791
5.5,NaN,0.0181991523549611
7.5,7.94037624319268e-05,NaN
10,NaN,0.0284337425942497
15,0.000123736009059619,NaN
20,NaN,0.0358173559195758
25,5.25853442916316e-05,0.0368190709474042
30,6.17830051553706e-05,NaN
35,NaN,0.0116011005016646
40,2.14550677158557e-05,NaN
45,NaN,0.00407206353713829
50,1.73757737810798e-05,NaN
55,NaN,0.0158767736622333
65,8.54907600941252e-06,NaN
80,1.16629599960196e-05,NaN
95,2.08483651898366e-05,NaN
100,2.88376570063568e-05,NaN
