t,EpoRpJAK2_Obs,CISHnRNA4_Obs,SOCS3RNA_Obs
0,7.62167837411655e-05,0.000101671569678269,0.131154328251988
6.5,0.0133081219924792,NaN,NaN
10,NaN,9.20864929958571e-05,0.0801144352505335
15,0.0161259920009404,NaN,NaN
20,0.0106147510702986,NaN,NaN
25,NaN,0.00133576747793245,0.090382112138757
30,0.0188331808180659,NaN,NaN
35,0.00691849316471201,NaN,NaN
40,NaN,0.00134891246705592,0.0813347244391117
45,0.0097720180519889,NaN,NaN
55,0.0250447608941419,0.00306295284216588,0.063311257834172
70,0.0054959930303963,0.00122159357738026,0.0716257427558043
85,0.0207817492376747,NaN,NaN
90,NaN,0.000656112137994719,0.120888615482924
100,0.00953684771832332,0.00135307679037146,0.140357733434407
150,NaN,0.000578424107321061,0.0415273188524203
200,NaN,0.00101273534687739,0.0937295412005646
