t,CISHnRNA2_Obs,SOCS3nRNA4_Obs,SOCS3RNA_Obs
0,0.000149057140510941,0.0282990706032553,0.082635956945539
6,0.000115295785190775,NaN,NaN
8,NaN,0.0308483398902406,NaN
15,4.89596658758777e-05,0.0288135383512735,NaN
20,3.02584740148629e-05,NaN,0.0920571173718521
25,2.37345774632705e-05,0.0210515899495185,NaN
35,9.82246154634519e-06,0.00860139970463802,NaN
40,NaN,NaN,0.0824178470008974
45,3.14241968626505e-05,NaN,NaN
50,NaN,0.00370381760512251,NaN
55,7.07782517459707e-06,NaN,NaN
60,NaN,0.0105889643593451,NaN
65,1.89757741312668e-05,NaN,0.0527082914634914
80,1.18540483597168e-05,NaN,NaN
90,NaN,NaN,0.0165334100826884
100,1.79973886605035e-05,NaN,0.0311568310917276
150,NaN,NaN,0.0253635588283017
200,NaN,NaN,0.00455140962766143
