t,epo_level,EpoRpJAK2_Obs,CISHnRNA4_Obs
18,2.5e-09,-0.0146199504718544,0.000234111057699347
18,2.5e-09,-0.00427020120992295,0.000260523399743743
18,2.5e-09,-0.00125314921244151,0.000166565341127015
18,2.5e-08,-0.00868670918487998,0.000223329120957142
18,2.5e-08,0.00394648666328874,0.000902703718358262
18,2.5e-08,0.00754307460382637,0.000345027745410878
18,1.25e-07,0.0101574833160934,0.00122357939578707
18,1.25e-07,0.0198943569995328,0.000709971969089904
18,1.25e-07,0.0199804871372171,0.00112875342692244
18,2.5e-07,0.019731143534598,0.00122289809204078
18,2.5e-07,0.0351964646947251,0.00191414069716
18,2.5e-07,0.0517022065783562,0.00123476517533051
18,1.25e-06,0.115394532825116,0.00391386977956026
18,1.25e-06,0.120982706484869,0.00445782075706205
18,1.25e-06,0.127711727529566,0.0044863429817905
18,2.5e-06,0.162343273432715,0.00542610255068039
18,2.5e-06,0.180306990085255,0.00615924136797626
18,2.5e-06,0.188386895911433,0.00553367397007795
