t,epo_level,SOCS3nRNA4_Obs
9,2.5e-09,0.0258618834579201
9,2.5e-09,0.0262711268694687
9,2.5e-09,0.0378308436854911
9,7.905e-09,0.0297633710540846
9,7.905e-09,0.03670331097974
9,7.905e-09,0.0406072855461111
9,1.25e-08,0.0362555709736308
9,1.75e-08,0.0183147522174884
9,2.5e-08,0.0273194795514422
9,3.95e-08,0.021534274838849
9,3.95e-08,0.0271201241195981
9,3.95e-08,0.0409696530996905
9,7.9e-08,0.019836811755528
9,7.9e-08,0.0287301391170832
9,7.9e-08,0.0335056896887622
9,1.25e-07,0.0275168550401319
9,1.7675e-07,0.0255025778219324
9,1.7675e-07,0.0274077022128754
9,1.7675e-07,0.0297351671409374
9,2.5e-07,0.028451132625311
9,2.5e-07,0.0300636391486774
9,2.5e-07,0.042011076906416
9,7.905e-07,0.0293366895415511
9,7.905e-07,0.029409737404033
9,7.905e-07,0.0341156238474505
9,2.5e-06,0.0289463372409337
9,2.5e-06,0.0345093553816013
9,2.5e-06,0.0385718818228573
