t,epo_level,EpoRpJAK2_Obs,CISHnRNA4_Obs
4,2.5e-09,-0.0168161403822542,0.000168275198761033
4,2.5e-09,0.00703059154159259,0.000132975756252703
4,2.5e-09,0.0184228628064892,0.00014773812315058
4,2.5e-08,-0.0134617577712215,0.000175699833519406
4,2.5e-08,0.00791113061046384,0.000155270299794225
4,2.5e-08,0.0326896080892909,0.000129431831659012
4,2.5e-07,0.0239768795198001,0.000162039810232315
4,2.5e-07,0.0464388714130769,0.000147762924936777
4,2.5e-07,0.0539406508049551,0.000145779884672504
4,2.5e-06,0.138611201608327,0.000184754609861269
4,2.5e-06,0.147378718975848,0.000156321789820559
4,2.5e-06,0.181080309259407,0.000107430673118258
4,2.5e-05,0.402614402884388,0.000124942777951666
4,2.5e-05,0.434904497041365,0.000133814496568251
4,2.5e-05,0.462725475953351,0.000181617959997128
