t,EpoRpJAK2_Obs,STAT5_Obs,CISHnRNA4_Obs,SOCS3nRNA3_Obs,SOCS3nRNA4_Obs,SOCS3RNA_Obs
0,-0.00255875323981521,122.128334539935,-0.000613161896461756,0.0223647128555802,0.0267329833674516,0.101548620199499
15,0.0187060299262222,NaN,NaN,NaN,NaN,NaN
20,NaN,125.005223074295,NaN,NaN,NaN,NaN
25,NaN,NaN,NaN,NaN,0.0282690729510154,0.0741109020147205
30,NaN,NaN,NaN,0.0254031873230234,NaN,NaN
35,0.0150973175124361,72.312960635511,0.00561101032736812,NaN,NaN,NaN
50,NaN,NaN,NaN,NaN,0.0347921960348939,0.0996571124791166
55,0.0150990717176012,77.3968889104215,NaN,0.0376653385272739,NaN,NaN
70,NaN,NaN,0.00708854941464644,NaN,NaN,NaN
75,0.0126226805236934,66.1647971575331,NaN,NaN,0.0237642659131603,0.0740595369716668
85,NaN,NaN,NaN,0.0374378341882965,NaN,NaN
100,0.0162406207971159,81.2538634230229,0.00585810427337644,0.022195267487827,0.0310517517934741,0.0894570353945969
150,0.0103174731376279,112.882707924441,0.00351127513453803,0.0312039658553892,0.0411464595150669,0.108419395233894
200,NaN,65.825669568442,0.00271303231017918,0.0295596718429051,0.0362053260266752,0.0875393994900287
250,NaN,105.492389681438,0.00200202064383925,0.0294359320201361,0.0251758824675242,0.121007858298125
300,NaN,86.2297093198682,0.00262899267735037,0.0385894952503327,0.037494097985116,0.1040720619312
400,NaN,86.7250844259319,0.00250054868368646,0.0278679992128768,0.0284075291174465,0.0648379823272485
500,NaN,NaN,0.0013915124423736,NaN,NaN,NaN
