t,EpoRpJAK2_Obs,CISHnRNA4_Obs
0,0.000388912000592186,0.000172358896513336
15,0.019574272187239,NaN
25,NaN,0.000778886085462197
35,0.0196721752224422,NaN
50,0.0189152134036384,0.00216358331601177
70,0.0183690933827425,NaN
75,NaN,0.00178681277445861
95,0.00842111059866957,NaN
100,0.0131684001765789,0.00157675916835584
150,0.00989438297593899,0.000955037011500934
200,0.0194894427675747,0.000557580380593817
250,0.0105884771589384,0.000530262343767539
300,NaN,0.00092090997369229
400,NaN,0.000959199159458036
