t,Naive_Obs,EarlyEffector_Obs,LateEffector_Obs,Memory_Obs,Pathogen_Obs
0,8305.75293759422,17.7679483362172,-272.9514222624,-100.359535388248,1.06320601116942
2,1607.14324872629,207.459224462287,NaN,NaN,NaN
2.5,NaN,NaN,431.652486546288,NaN,NaN
3,NaN,NaN,NaN,-56.2434581070418,1.27362217092023
4.5,223.917105254997,280.292698948473,NaN,NaN,NaN
5.5,NaN,NaN,984.35848692863,NaN,NaN
6,NaN,NaN,NaN,-81.4626911575156,NaN
6.5,-52.4851032977422,379.357169000756,NaN,NaN,1.46923232353436
8,NaN,NaN,1392.73906424711,NaN,NaN
9,NaN,796.287893038401,NaN,51.9192450161607,NaN
9.5,36.1643404443746,NaN,NaN,NaN,NaN
10,13.5184774353131,1028.67128978085,2649.22300563004,189.034111785944,1.48961179068918
15,-123.249039144566,899.167234243641,6289.22253426369,643.795023761353,0.633764968016014
20,189.354913775484,66.6023342596163,5575.32748269946,1454.33581574725,0.174413537778192
25,NaN,-7.80495194457489,4624.56742979125,1758.61021898643,0.0692500561204523
30,NaN,43.0976351113626,3823.67157166628,2372.08519360827,NaN
35,NaN,11.7336691643028,3420.39898820916,2712.79293323794,-0.09922172374442
40,NaN,NaN,2117.31187399539,NaN,0.0102355441874967
45,NaN,NaN,NaN,3116.30715400438,NaN
50,NaN,NaN,2146.70507593051,NaN,0.0797316484034622
55,NaN,NaN,NaN,NaN,-0.0422681821643318
60,NaN,NaN,1556.80751578698,NaN,NaN
70,NaN,NaN,NaN,NaN,0.0579271777480858
