t,AC_Fsk_Obs,RIIp_cAMP_2_Obs,RII_2_Obs
0,-0.0398131246014585,0.00212948816620656,0.0832564531686087
3.5,0.3644971596425,NaN,NaN
6,NaN,0.0154830305208174,0.081577311242977
7,0.369919183918914,NaN,NaN
10,0.358102656248724,NaN,0.0771342251198096
15,0.403274445483431,0.0166119646784051,NaN
20,0.36416931039281,0.0180291339900768,0.0919160373288092
25,0.394572981050537,NaN,0.0716758066835613
30,NaN,0.0169316259851327,NaN
35,NaN,NaN,0.0784219924048977
40,NaN,0.0169499691962677,NaN
45,NaN,NaN,0.0652853629849422
50,NaN,0.0166092480620436,NaN
55,NaN,NaN,0.0744924629574442
