t,AC_Fsk_Obs,RIIp_cAMP_2_Obs,RII_2_Obs
0,0.00260222916752866,0.000528283942593021,0.082170667351425
3,-0.00349063916266627,NaN,NaN
6,NaN,0.000162338402504426,NaN
6.5,0.0165584517937546,NaN,0.0900616312540868
10,-0.0292785002013466,NaN,NaN
15,0.00258853130520816,3.23800152175773e-05,0.0800267699450012
20,0.0780795307111608,3.21053081077321e-05,0.0865196273389811
25,-0.119359274107256,NaN,NaN
30,-0.0151216114350178,2.29488281742488e-05,0.0745760862669292
40,NaN,1.68658813932865e-05,0.0747089968325325
50,NaN,1.28408177505406e-05,NaN
55,NaN,NaN,0.0695603046000233
