t,AC_Fsk_Obs,Rp8_pCPT_cAMPS_Obs,IBMX_Obs
0,-0.0736080899011219,0.038432319564352,0.162221795159321
3.5,NaN,-0.127974181443108,NaN
4,0.106305484065088,NaN,-0.0938400828786029
7.5,NaN,0.0035150159085348,NaN
8,0.034480373599996,NaN,NaN
8.5,NaN,NaN,-0.0967544285738756
10,NaN,-0.0233380787544884,NaN
15,0.0953697822210734,0.0126417184278568,-0.0208540912661326
20,-0.037507955280137,0.0437058850772707,0.121750296545148
25,0.00793400213377726,NaN,0.0082909711967312
30,-0.0368533557479963,-0.0149999132521415,0.0826481481165439
35,NaN,-0.0327463248110317,NaN
40,NaN,NaN,-0.126598614267559
