t,Rec2_Obs,IR1_Obs,IR1in_Obs,BoundUnspec_Obs
0,507.423123306139,-0.000306269653930104,-0.000345666189026537,-0.00492605189243933
6,NaN,NaN,NaN,0.359258800230191
7.5,NaN,0.00672686540774297,NaN,NaN
10,445.225453045418,NaN,0.0110049673525474,0.331019979981707
15,NaN,0.00567001596951396,NaN,NaN
20,467.678493252428,NaN,0.0135787443132224,0.223246870441641
25,NaN,0.00466051253375024,NaN,0.248955471508879
30,473.742390525092,0.00438191403835577,0.0126732322269387,NaN
35,NaN,NaN,NaN,0.194166559815367
40,NaN,0.00328923340854064,0.0104183347291938,0.225729438308268
45,379.509498783757,NaN,NaN,NaN
50,NaN,NaN,NaN,0.205249787446498
55,419.318162988479,0.00354013231057043,0.00963210855999175,NaN
60,NaN,NaN,NaN,0.207424261842945
65,NaN,0.00430359943345947,NaN,NaN
70,426.476880964894,NaN,0.00997872613992475,NaN
75,NaN,NaN,NaN,0.172820483580729
80,NaN,0.00414248447768755,NaN,NaN
85,427.985038111639,NaN,0.0107459544155331,NaN
90,NaN,NaN,NaN,0.181515014374422
95,NaN,0.00280655235510758,NaN,NaN
100,453.032320253515,0.00319994925598307,0.0102191958517358,0.175023482077865
150,373.039376931211,0.00249357656834931,0.00670399635749781,NaN
200,429.337189386366,NaN,0.00686134138320292,NaN
