t,Rec2_Obs,IR1_Obs,IR1in_Obs,BoundUnspec_Obs
0,370.58827038475,4.48402237327526e-05,9.47793184436066e-06,-0.00173805305263545
3,397.463418994037,NaN,NaN,NaN
6.5,383.045598489238,NaN,NaN,NaN
7.5,NaN,NaN,NaN,0.0420085767600898
8,NaN,0.000699615584429551,NaN,NaN
10,452.583551810079,NaN,0.00134591732908554,NaN
15,438.962042496483,0.000454840464387536,NaN,0.0278439622807091
20,406.068151092009,NaN,NaN,NaN
25,485.039210035097,0.000483705755931624,0.00125235768093669,0.0264355601198967
30,434.08958323165,NaN,NaN,0.0221106418674468
35,NaN,0.00043115045727622,0.00118697698491898,NaN
40,403.563034214518,NaN,NaN,0.0235789463144374
45,NaN,0.000431198061217963,NaN,NaN
50,NaN,NaN,0.0011196761197999,0.0185676125732605
55,NaN,0.000359730530802741,NaN,NaN
65,NaN,NaN,0.00111549625421135,0.0171730630284639
70,NaN,0.000376067849999685,NaN,NaN
80,NaN,NaN,0.00086675078853499,0.0175337002811041
85,NaN,0.000331504541056049,NaN,NaN
95,NaN,NaN,NaN,0.0192680259605418
100,NaN,0.00034718383636864,0.000937470965178469,0.0166605142131106
150,NaN,0.000272200125912329,0.000649672703946194,0.0140347258944121
200,NaN,NaN,0.000624907058594044,NaN
