t,Rec2_Obs,IR1_Obs,IR1in_Obs,Uptake2_Obs,BoundUnspec_Obs
0,441.477753738808,-0.161299507760077,-0.100944455252259,0.210449742734107,-0.159154354043213
5,NaN,NaN,NaN,-0.0187584562175855,NaN
6,476.964942969167,NaN,NaN,NaN,NaN
6.5,NaN,NaN,-0.0605559973035639,NaN,-0.0857177477883371
7.5,NaN,-0.0593373275155297,NaN,NaN,NaN
10,433.585385042156,NaN,NaN,0.108983229238901,NaN
15,NaN,0.214893667312273,-0.116478333769505,-0.0911117269026727,-0.05611219035073
20,410.631372460638,NaN,0.0383994126241215,0.0367769226573973,0.0252363506450895
25,532.131115663056,-0.105549420524235,NaN,NaN,NaN
30,NaN,NaN,0.0882146751614953,0.0837484173556607,-0.0470929981090694
35,443.377556677432,-0.0391091959851888,NaN,-0.0697157775552166,NaN
40,NaN,NaN,-0.0161036961182079,NaN,NaN
45,NaN,-0.031974109342998,NaN,NaN,NaN
