t,Rec2_Obs,IR1_Obs,IR1in_Obs,Uptake2_Obs,BoundUnspec_Obs
0,512.281979157591,-0.00478806347293821,0.0133368033628198,-0.446151036177257,0.255288728650427
6.5,NaN,0.0704798273251051,NaN,NaN,4.14160547654237
9,428.614675210545,NaN,NaN,NaN,NaN
9.5,NaN,NaN,0.100246832742637,NaN,NaN
10,NaN,NaN,NaN,4.99555134494164,NaN
15,NaN,0.0515798534015448,NaN,NaN,2.55121415662239
20,367.23948619273,0.0396181302185579,0.124392324071701,5.713398156688,2.51976124794588
25,NaN,NaN,NaN,NaN,2.51016006817991
30,439.708308159934,0.0428240678253672,0.124447889792392,6.00508304267388,NaN
35,NaN,0.0446847035221556,NaN,NaN,1.99738671548157
40,388.035564405892,NaN,0.117907170167634,NaN,NaN
45,NaN,0.0398420764662028,NaN,6.25583187763097,2.11161776336239
50,379.531487822829,NaN,NaN,NaN,NaN
55,NaN,NaN,0.116396764371767,6.58001218325624,2.39812135125174
60,410.655062315777,0.0350818078693523,NaN,NaN,NaN
65,NaN,NaN,NaN,NaN,2.24882683362545
70,NaN,0.0399503058636225,0.110181036770523,6.85653040126863,NaN
75,356.130975547122,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,2.06099209899681
85,NaN,NaN,0.102348121485091,7.24345182537826,NaN
90,417.122933096713,0.0397023502865397,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,2.2338328398808
100,430.623324469273,0.0245837249550068,0.0921190499599171,8.67959083187687,2.06947331978961
150,470.661964240004,NaN,0.0725926785112595,7.04262301068893,1.44451871762638
200,436.976809882062,NaN,0.0569934467005385,7.78174428865088,NaN
