t,Rec2_Obs,IR2_Obs,Uptake1_Obs,Uptake2_Obs,InsulinFragments_Obs,BoundUnspec_Obs
0,832.777032198016,0,0.110507789282562,0,0,1.21008952648996
5.5,NaN,48.231985723471,NaN,NaN,NaN,994.68769094518
8,593.186572028083,NaN,NaN,NaN,NaN,NaN
9.5,NaN,NaN,11.9250000386437,222.925539314801,24.1192784303815,NaN
10,NaN,40.9277634697593,NaN,NaN,NaN,638.242651311695
15,561.747267662788,56.3279255199007,NaN,NaN,NaN,670.100210408062
20,NaN,45.5759959936459,12.4927079771495,294.658044432845,62.3456328469306,531.88449661872
25,693.032666796066,NaN,NaN,NaN,NaN,NaN
30,455.035789052201,42.0883858164537,11.6945773265272,586.009161021675,105.475753247996,637.662458957891
35,NaN,42.5561964203088,NaN,NaN,NaN,445.08275324262
40,537.102316508389,NaN,16.2104127053039,409.736634544799,162.471034266803,NaN
45,NaN,32.6192800107364,NaN,NaN,NaN,448.226600117545
50,568.104814511976,34.8678310187818,NaN,423.100215562814,NaN,391.719208491101
55,NaN,NaN,19.8384976054931,NaN,223.611915744622,NaN
60,598.42018308665,29.7537587675163,NaN,NaN,NaN,369.180020057775
65,NaN,NaN,21.7257581737792,452.193749172121,NaN,NaN
70,NaN,NaN,NaN,NaN,299.042598602739,415.127836664358
75,865.219964351565,36.6031701486591,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,484.200889728647,NaN,NaN
85,435.222025129084,31.6688591529153,19.9723588304254,NaN,NaN,348.357301654601
90,NaN,NaN,NaN,NaN,347.175795034293,NaN
100,724.203676497611,24.4935064977162,21.926693619285,481.289480734035,338.108032848855,329.78816916609
150,589.175046321328,28.6320998406918,29.6718862192845,664.627474995137,512.205216710565,229.9235885249
200,584.565303787288,NaN,33.1037157025941,856.722015567994,894.727001953979,NaN
