t,Rec2_Obs,IR2_Obs,IR2in_Obs,Uptake1_Obs,Uptake2_Obs,InsulinFragments_Obs,BoundUnspec_Obs
0,965.971414986789,0,0.886089289477742,0.111191584260717,0,0,7.3947637063431
3,203.061387032546,175.601506467411,NaN,NaN,NaN,NaN,NaN
4.5,NaN,NaN,418.507581229409,NaN,NaN,NaN,NaN
5.5,NaN,NaN,NaN,NaN,NaN,NaN,7570.3828739307
6,96.6754701636537,112.4038354716,NaN,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,NaN,66.5675662239702,NaN
8.5,NaN,NaN,637.560447124326,25.8240306447613,NaN,NaN,NaN
9,125.674497524063,122.683175352202,NaN,NaN,NaN,NaN,NaN
9.5,NaN,NaN,NaN,NaN,744.375714507483,NaN,NaN
10,NaN,135.877294047295,NaN,NaN,NaN,NaN,6808.74405915056
15,103.988879307383,120.013878590398,511.843406877459,36.201528138896,NaN,147.350230924445,7377.85900398655
20,71.2899980672155,112.290550642474,584.29989247152,NaN,881.00625851827,NaN,NaN
25,97.2442687950185,117.649208788105,703.843362505797,46.4128798980153,NaN,216.537494769545,6173.88753418224
30,89.5998725956387,74.9070423543563,726.743827881999,NaN,1511.78626117461,NaN,6688.16183947384
35,NaN,90.6796787618227,692.163198193127,32.1069059962948,NaN,498.56383386837,6878.13513769129
40,79.9686672967,NaN,NaN,NaN,1257.55909743016,NaN,NaN
45,66.4612689873373,98.5688983529153,579.626953090934,52.6354899418392,NaN,486.355232771561,6385.99147071072
50,NaN,NaN,NaN,NaN,1645.67703115484,NaN,5397.90297753776
55,145.973887509313,145.447228803946,853.785319201406,NaN,NaN,674.579549455578,NaN
60,NaN,NaN,NaN,55.8817137461337,NaN,NaN,7632.23432573446
65,NaN,NaN,710.639891984853,NaN,1142.69699276645,NaN,NaN
70,NaN,NaN,NaN,NaN,NaN,1050.44204060831,5719.55079699246
75,NaN,NaN,NaN,66.7036652185581,NaN,NaN,NaN
80,NaN,NaN,628.005633051206,NaN,1682.43591722248,NaN,NaN
85,NaN,NaN,NaN,NaN,NaN,1000.24845248484,6545.92443026434
90,NaN,NaN,NaN,90.8821977081892,NaN,NaN,NaN
95,NaN,NaN,714.568812976328,NaN,NaN,NaN,4468.63675103837
100,NaN,NaN,NaN,65.8137438973151,1780.0120926248,1090.23639095398,5731.03451860472
150,NaN,NaN,NaN,85.7141363024612,2978.95368433757,2187.04958423246,5631.77758855332
200,NaN,NaN,NaN,128.940284057639,2783.98373299772,2354.93594090158,NaN
