t,S2_Obs,ppS3_Obs,ppS2_ppS3_ppS3_Obs,geneI_Obs
0,115.449483596388,9.33871868956529e-18,0,1.21500806632527
9,195.61763308178,NaN,NaN,NaN
10,NaN,NaN,0,1.06503123514825
15,NaN,1.16799245499908e-17,NaN,NaN
20,210.449347592227,NaN,NaN,0.763685266259142
25,NaN,6.62960875179791e-18,0,NaN
30,109.349264364747,NaN,NaN,NaN
35,NaN,NaN,NaN,0.709894330418981
40,183.533038515778,1.0340940877442e-17,0,NaN
45,NaN,NaN,NaN,1.49048690707919
55,156.796203991904,NaN,0,NaN
60,NaN,6.71819290987856e-18,NaN,0.633339743656108
65,118.635533754459,NaN,NaN,NaN
70,NaN,NaN,0,NaN
75,NaN,7.47442490280683e-18,NaN,NaN
80,131.450673084901,NaN,NaN,1.74159699829262
95,NaN,NaN,0,NaN
100,NaN,1.24311726705047e-17,NaN,NaN
