t,S2_Obs,ppS3_Obs,ppS2_ppS3_ppS3_Obs,geneI_Obs
0,140.465814663689,1.44954332293974e-17,0,1.58209511375426
10,133.469182807862,1.49480666472176e-17,0,1.01514248796904
20,NaN,NaN,0,NaN
25,136.239500780236,1.1288708627072e-17,NaN,0.736042252305845
35,164.737161087818,9.21378260107451e-18,0,0.535822550345042
45,NaN,NaN,0,NaN
50,197.081986210976,1.09954588333565e-17,NaN,1.02676076760689
60,NaN,NaN,0,NaN
65,NaN,1.03422627470077e-17,NaN,NaN
70,138.090990597496,NaN,NaN,1.8531439038701
80,NaN,NaN,0,NaN
85,NaN,9.43089669926428e-18,NaN,0.739393474452511
90,168.74669417931,NaN,NaN,NaN
