t,S2_Obs,ppS3_Obs,ppS2_ppS3_ppS3_Obs,geneI_Obs
0,123.424376468722,0.000952574956147424,0,0.935908553062706
50,153.618616149015,NaN,NaN,NaN
60,NaN,0.187564952485143,NaN,NaN
75,NaN,NaN,0.880999827122461,NaN
80,NaN,NaN,NaN,1.29011799446469
100,227.466655020747,0.130754204413244,NaN,NaN
150,48.9379122213022,NaN,0.916992099280626,1.45569305928114
200,104.208115334528,0.223919477071667,NaN,NaN
250,NaN,0.193537522517653,0.389454516420786,1.2944150529433
300,69.5839300337731,NaN,0.236699148572247,NaN
350,97.765116194824,0.229142922656466,NaN,1.18561104529607
400,NaN,0.239121153512919,NaN,NaN
450,101.932459771404,NaN,0.0814718504948909,1.06160369342828
500,NaN,0.157445012964214,NaN,NaN
550,144.981246820673,NaN,0.0660122979712537,NaN
600,NaN,0.120534012185271,NaN,1.57010268764883
700,141.846124766247,0.119438431507106,0.0321261852767,NaN
750,NaN,NaN,NaN,1.18657206743546
850,193.089657184639,0.0932559223249066,NaN,NaN
900,NaN,NaN,0.0118092961003207,NaN
950,NaN,NaN,NaN,0.907276747164602
1000,165.634673147007,0.0677690622920418,0.00818883951301305,0.850445948453926
1500,NaN,0.0505382229770298,NaN,0.786714003151808
