t,S2_Obs,ppS3_Obs,ppS2_ppS3_ppS3_Obs,geneI_Obs
0,350.091300599951,9.67822143042572e-05,0,0.920201987030067
55,215.073735813575,NaN,NaN,NaN
60,NaN,NaN,0.581921717316723,NaN
70,NaN,NaN,NaN,0.92806324829275
75,NaN,0.119250898195473,NaN,NaN
100,253.292494712297,NaN,NaN,NaN
150,210.620170375836,0.135308241176283,0.452606744597883,0.840283023873613
200,NaN,NaN,0.648546032818943,1.23123825752229
250,291.610986873845,0.0870387202501815,0.342204297163383,NaN
300,228.377338487155,0.163563304235468,NaN,1.02014406333598
350,234.502712994326,NaN,0.227369642014018,NaN
400,NaN,0.167919661274372,NaN,0.962833934164516
450,212.213231827477,NaN,0.15268181924483,NaN
500,NaN,0.134113220535511,NaN,1.07013402262342
550,215.588314530281,NaN,0.121920932163801,NaN
650,207.300888358209,0.0648860425973873,0.0417891151631866,0.816396379983845
800,260.282512813762,0.0659351672620552,0.025314238570947,0.672305962342811
950,189.285581876306,0.0725589176544407,NaN,0.359431894989417
1000,474.836696539605,0.0779585590156243,0.0073770209663676,0.986581275825956
1500,NaN,0.0282365291215151,NaN,0.491752402420786
