t,S2_Obs,ppS3_Obs,ppS2_ppS3_ppS3_Obs,geneI_Obs
0,118.672040050407,0.00117838271165187,0,0.837964804257653
45,128.488475676349,NaN,NaN,NaN
55,NaN,NaN,0.704463583559048,NaN
65,NaN,NaN,NaN,0.731426689972851
75,NaN,0.264376642450235,NaN,NaN
95,109.177064993783,NaN,NaN,NaN
100,NaN,NaN,0.771406539176561,NaN
150,152.247368666531,0.228553450269046,0.453358457507085,0.732360086028407
200,101.558622933264,NaN,NaN,0.739011166910164
250,116.335279969583,0.237901786681471,0.292536765330713,NaN
300,146.123866531933,0.305634964923702,0.190787547928645,0.78453135502229
350,NaN,NaN,NaN,0.78419672910359
400,213.715593826211,0.260318953389621,0.180962896125395,NaN
450,NaN,NaN,0.0996926564506398,0.582138065377114
500,210.162232930799,0.182403122624587,NaN,NaN
550,NaN,NaN,0.0327785887541601,0.547685916696835
600,116.142768962119,NaN,NaN,NaN
650,NaN,0.19717111215154,NaN,NaN
700,218.456391562953,NaN,0.0151743025234701,0.920072955819761
800,NaN,0.158400015697548,NaN,NaN
850,109.679505210952,NaN,0.00589955616668551,0.931132892445213
1000,189.390298536044,0.0840829124174013,0.00242266900733932,0.490577597089274
1500,NaN,0.0192165678790817,NaN,0.486167064527068
