t,TGFb_Obs,geneC_Obs
0,1.34557876897295,1.04425495308807
65,0.893497469259567,NaN
70,NaN,1.21362878505491
150,0.723517949112716,0.982941927305695
200,0.286545850015075,1.80413331228331
300,0.228762613945078,1.91422065807819
350,0.287816429485376,1.77852358796062
450,0.185552182848545,1.76273260940173
550,0.163617588097506,NaN
600,NaN,1.76118822929184
700,0.0736806551747637,0.997950725485798
850,0.0619294355398083,1.09193473155577
1000,0.0486367138612631,1.36039279316004
1500,0.0134938658875434,1.32917321079364
