t,S2_Obs,ppS3_Obs,ppS2_ppS3_ppS3_Obs,geneI_Obs
0,120.060283759663,1.08840228871983e-17,0,1.09771917986598
10,176.91014143151,1.21796735639053e-17,0,NaN
15,NaN,NaN,NaN,0.887938419428586
20,210.427969540277,NaN,NaN,NaN
25,NaN,1.13261122540461e-17,0,1.95201427237174
35,143.737677188299,NaN,NaN,NaN
40,NaN,1.10577897237044e-17,0,NaN
45,NaN,NaN,NaN,0.921242008518379
50,125.512319571089,NaN,NaN,NaN
55,NaN,1.1642756885169e-17,0,NaN
60,NaN,NaN,NaN,1.32626813393662
65,163.795848787072,NaN,NaN,NaN
70,NaN,NaN,0,NaN
75,NaN,8.13203173852642e-18,NaN,NaN
80,NaN,NaN,NaN,1.87884524966182
85,133.709348492694,NaN,NaN,NaN
90,NaN,NaN,0,NaN
95,NaN,1.05594109844409e-17,NaN,NaN
100,NaN,NaN,NaN,1.1260756638238
