t,S2_Obs,ppS3_Obs,ppS2_ppS3_ppS3_Obs,geneI_Obs
0,297.425489573692,7.95859883159402e-18,0,1.32268857596463
10,407.715699706643,NaN,0,1.06249550307858
15,NaN,1.25433488570709e-17,NaN,NaN
25,323.287298210484,8.08963792961455e-18,0,0.995474778157415
35,NaN,NaN,0,NaN
40,236.158245671233,1.10879939324047e-17,NaN,1.19878548305866
50,NaN,NaN,0,NaN
55,260.247677250851,NaN,NaN,1.28995473487249
60,NaN,6.2446756328561e-18,NaN,NaN
65,NaN,NaN,0,NaN
70,384.821897818313,NaN,NaN,0.878242233576594
80,NaN,1.44958459374777e-17,NaN,NaN
85,NaN,NaN,0,NaN
90,331.215152246279,NaN,NaN,NaN
95,NaN,NaN,NaN,1.02222368500076
100,NaN,1.13307083417699e-17,NaN,NaN
