t,S4_Obs,S2_S4_S4_Obs,ppS2_ppS2_S4_Obs,ppS3_ppS3_S4_Obs,ppS2_ppS3_S4_Obs,geneF_Obs,geneI_Obs,geneL_Obs
0,89.2173883330466,0.0455933570700234,0.21851179469144,0.147362906860217,-0.1767550868865,0.948460524107457,1.26831387140595,1.06723699928035
9.5,NaN,NaN,NaN,NaN,-0.0552171056927566,NaN,NaN,NaN
10,NaN,NaN,NaN,0.0114033147039982,NaN,1.08551034698852,0.90100429415078,1.26962041298897
15,65.5770864922645,-0.114402694107773,0.102253728700158,NaN,NaN,NaN,NaN,NaN
20,NaN,NaN,NaN,NaN,0.105017041085754,1.0529751098944,NaN,0.887995947823887
25,NaN,-0.0166619784344869,-0.0122050158539178,-0.0240243967281923,NaN,NaN,0.759129382763598,NaN
30,77.3800472975917,NaN,NaN,NaN,0.0625628338180311,NaN,NaN,NaN
35,NaN,NaN,NaN,-0.0732650416659119,NaN,1.07217004438085,NaN,1.03834587786761
40,NaN,NaN,-0.116122469003103,NaN,-0.023401187795394,NaN,1.065413112033,NaN
45,63.0871783102598,-0.0312850029930293,NaN,NaN,NaN,1.24481949262957,NaN,NaN
50,NaN,NaN,NaN,0.224206675788151,NaN,NaN,NaN,1.04302987375083
55,NaN,NaN,-0.146887473668594,NaN,-0.0350550818743056,NaN,1.30901414083984,NaN
60,88.4012218220758,0.217093011651591,NaN,NaN,NaN,0.910377052210963,NaN,NaN
65,NaN,NaN,NaN,-0.021438348706299,NaN,NaN,NaN,0.968283325289796
70,NaN,NaN,NaN,NaN,-0.152494495078331,NaN,NaN,NaN
75,NaN,NaN,0.0436160711274479,NaN,NaN,NaN,1.13607256048992,NaN
80,NaN,0.204438530766835,NaN,NaN,NaN,1.04931166035957,NaN,1.0709556317146
85,92.470005912466,NaN,NaN,-0.00142750159519317,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,0.0480408420766529,NaN,NaN,NaN
95,NaN,NaN,-0.0365943037773041,NaN,NaN,NaN,1.05976667280065,NaN
100,59.897749180189,0.188914983039587,NaN,NaN,NaN,NaN,NaN,NaN
