t,S4_Obs,S2_S4_S4_Obs,ppS2_ppS2_S4_Obs,ppS3_ppS3_S4_Obs,ppS2_ppS3_S4_Obs,geneF_Obs,geneI_Obs,geneL_Obs
0,81.0801509190753,0.403603802430919,-0.298422494657802,0.0271313807383179,0.227095152670039,0.881367881519449,0.788019744876928,1.06718681256113
10,93.6973537118611,NaN,0.0704251710245182,-0.0600476565740488,-0.11835118671393,0.86545902911665,NaN,0.984267552374758
15,NaN,0.0564113189470668,NaN,NaN,NaN,NaN,0.951525921660157,NaN
20,69.8264925589162,NaN,0.13374240386134,0.0195007993440601,NaN,NaN,NaN,NaN
25,NaN,NaN,NaN,NaN,0.171360700693754,1.0610215773681,0.985098698047128,0.922195556493416
30,NaN,-0.0169701540702214,NaN,0.0857835587801939,NaN,NaN,NaN,NaN
35,80.9572176425992,NaN,-0.0984618445568929,NaN,-0.0593282267021815,NaN,NaN,NaN
40,NaN,NaN,NaN,NaN,NaN,0.770842128143572,1.13150322834689,0.857472438252451
45,NaN,0.0109359495304868,NaN,0.152250406798254,NaN,NaN,NaN,NaN
50,71.8997471724332,NaN,-0.0752913705256822,NaN,-0.107719686227171,NaN,NaN,NaN
55,NaN,NaN,NaN,0.0740714713068293,NaN,0.95384603466944,1.03437876065749,0.930811863607052
65,91.1092567207264,-0.0785141732800557,-0.0653960487442719,NaN,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,-0.0290173567489275,-0.0768336098749902,NaN,NaN,0.913064435018593
75,NaN,NaN,NaN,NaN,NaN,1.13242507319425,1.08293263831107,NaN
80,72.4628016457355,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85,NaN,0.243950920825385,-0.244532674056958,NaN,-0.17790537248954,NaN,NaN,NaN
90,NaN,NaN,NaN,0.0656999489849357,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,1.08036881336832,NaN,0.814796627979061
100,64.5650151949902,0.266811846634567,NaN,NaN,NaN,NaN,0.981706954474145,NaN
