t,S4_Obs,S2_S4_S4_Obs,ppS2_ppS2_S4_Obs,ppS3_ppS3_S4_Obs,ppS2_ppS3_S4_Obs,geneF_Obs,geneI_Obs,geneL_Obs
0,238.002321898552,-0.167453978302348,0.100638093242039,-0.122361183605496,-0.0203571399425559,0.826729268406664,1.13326603518791,1.12202381340114
9,NaN,NaN,NaN,NaN,0.0100061611382245,NaN,NaN,NaN
10,NaN,-0.136536618273741,-0.0570725756340598,0.0410391340985072,NaN,0.9109000604905,0.955066693668857,0.996922580562945
15,185.323534704219,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,NaN,NaN,NaN,0.0650762961926126,0.0496589281977114,1.07281306290317,1.12947443075802,0.976800365594324
25,182.854165497313,-0.189008678875899,0.0794497545274014,NaN,NaN,NaN,NaN,NaN
30,NaN,NaN,NaN,NaN,0.0311424590291887,NaN,NaN,NaN
35,NaN,-0.028263557152904,NaN,0.32420423253837,NaN,0.857251207312239,1.18052179901909,0.923011088773976
40,172.705054607721,NaN,-0.0139647122198752,NaN,0.0155398654188149,NaN,NaN,NaN
45,NaN,NaN,NaN,0.106921508092843,NaN,0.960693703398649,NaN,1.05136040713798
50,NaN,-0.0726083927340969,NaN,NaN,NaN,NaN,0.984247850179934,NaN
55,179.799418812163,NaN,-0.142873008733072,NaN,-0.159143715793457,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.11089871308375
65,NaN,NaN,NaN,-0.128382108873765,NaN,0.933899409187258,0.879789422919963,NaN
70,NaN,-0.101815449496928,-0.165661217984237,NaN,0.0812269804106119,NaN,NaN,NaN
75,239.209379795426,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,-0.0814797132446878,NaN,1.16645072116498,NaN,1.02613776098865
85,NaN,NaN,NaN,NaN,0.355985430585762,NaN,0.93870298047221,NaN
90,NaN,-0.242427783991401,NaN,NaN,NaN,NaN,NaN,NaN
95,171.935234926678,NaN,-0.340010237297578,NaN,NaN,NaN,NaN,NaN
