t,S4_Obs,ppS2_ppS3_S4_Obs,ppS2_S4_S4_Obs,geneD_Obs,geneF_Obs,geneI_Obs,geneJ_Obs,geneL_Obs
0,66.7279832035678,-0.163384565387544,-0.12277589131856,0.860533701153845,1.69960387717546,1.05733360419681,1.04539782161406,1.07720150708326
45,NaN,NaN,3.95914443818729,NaN,NaN,NaN,NaN,NaN
50,38.9598953375173,5.57998853657562,NaN,NaN,NaN,NaN,NaN,NaN
65,NaN,NaN,NaN,1.55376697292533,NaN,0.80372725012212,NaN,NaN
75,NaN,NaN,NaN,NaN,10.0939222326515,NaN,0.190252275492918,NaN
80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.20578792718677
90,NaN,NaN,4.15436969696346,NaN,NaN,NaN,NaN,NaN
100,55.187610083919,5.24548197664892,NaN,NaN,NaN,NaN,NaN,NaN
150,63.1708659494227,3.497053808319,2.91553865529913,2.12388358771593,9.5354081619275,0.518430082312608,0.234891846509602,0.073854573119439
200,70.5395394653714,2.73722540442971,2.74528254333594,1.66799158623483,NaN,0.340845331539669,NaN,NaN
250,NaN,2.06585292840727,1.81665079301636,NaN,9.84908816401451,NaN,0.347914638577534,0.165723008817979
300,70.5045419962756,NaN,1.60655003794567,2.60255763329988,8.36588152386656,0.451858212671878,NaN,NaN
350,61.8843933961957,0.963743816186816,NaN,2.23200494874672,NaN,0.300393124525583,0.519823231017138,0.272813464418219
400,70.1710107292274,0.734799678300395,1.10597317694777,NaN,9.05085960464036,NaN,NaN,NaN
450,NaN,NaN,0.938732283716927,2.67362491186676,NaN,0.322221909436233,0.596598806809465,0.26760568250838
500,46.5430889312898,0.444308702419121,NaN,NaN,7.44897080969935,NaN,NaN,NaN
550,NaN,NaN,0.464548714777382,2.69239474035763,NaN,0.366470203001704,0.907530655236833,0.367183346534199
600,63.0472466689465,0.198457408498817,NaN,NaN,NaN,NaN,NaN,NaN
650,NaN,NaN,0.549639389334258,NaN,5.80350510939384,NaN,0.651049036524062,NaN
700,NaN,NaN,NaN,2.73929357942845,NaN,0.304579651998054,NaN,0.580714739044478
750,70.2869700280898,0.413587024953992,NaN,NaN,NaN,NaN,NaN,NaN
800,NaN,NaN,0.553328570582849,NaN,5.00335807301956,NaN,0.924004349296362,NaN
850,NaN,0.137143626888911,NaN,2.87743529780568,NaN,0.486378589961137,NaN,0.701308138755928
900,91.1645970493828,NaN,NaN,NaN,NaN,NaN,NaN,NaN
950,NaN,NaN,0.164828031511589,NaN,NaN,NaN,NaN,NaN
1000,56.5883248330463,-0.134130334185673,NaN,2.10331283430435,2.48238021520348,0.62933021412149,1.01297313805883,0.781650782509297
1500,NaN,NaN,NaN,1.73601428359403,1.2059905309834,0.454466846923952,1.04965515216418,1.00709615339073
