t,S4_Obs,ppS3_Obs,ppS2_ppS3_S4_Obs,geneD_Obs,geneF_Obs,geneI_Obs,geneJ_Obs,geneL_Obs
0,181.589496392863,0.00824809691474334,0.00969690504242504,1.06974666479749,0.446236155452761,0.985685670083879,1.1381914855692,0.904139940487515
40,144.306686917368,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,NaN,NaN,3.11046977011145,NaN,NaN,NaN,NaN,NaN
50,NaN,NaN,NaN,NaN,NaN,NaN,0.462401249723472,NaN
55,NaN,NaN,NaN,NaN,NaN,0.833803955666279,NaN,NaN
60,NaN,NaN,NaN,NaN,9.98827328352989,NaN,NaN,NaN
75,NaN,NaN,NaN,2.16673609904434,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.218600445512803
85,135.268140617834,0.235909032848289,NaN,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,2.84728229649134,NaN,NaN,NaN,NaN,NaN
100,NaN,NaN,NaN,NaN,9.32697360942141,0.753600018728127,0.437375075746674,NaN
150,127.764915349375,0.31385924479905,1.90143345292741,2.34791016838231,NaN,0.735082798524982,0.43070525881852,0.359050056667422
200,NaN,NaN,1.31898681009193,NaN,8.22867420350478,NaN,0.501866697835485,NaN
250,219.499192546612,0.306114914980408,0.846746265054964,2.03056396738449,7.9923253670382,0.629111140795272,NaN,0.198985220692476
300,225.230831030616,NaN,0.603683238553335,3.19207207322376,7.24234724885022,0.444424902829263,0.718842926996757,NaN
350,176.999099868174,0.305987561480781,NaN,NaN,NaN,NaN,0.528471752167588,0.452964445435328
400,174.999561728406,NaN,0.510288567297272,3.26917929991961,6.18678577373317,0.488054399936193,0.726614824651991,NaN
450,NaN,NaN,0.370634747387276,NaN,NaN,0.440502747597733,NaN,0.621196754673616
500,190.050744624426,0.198276168304426,NaN,3.30554757100006,4.03651057283725,NaN,0.859786312797457,NaN
550,NaN,NaN,0.159491786386309,NaN,NaN,0.381948738538221,NaN,0.751977583563835
600,202.915572844015,0.190240491718025,NaN,NaN,3.19728259155703,NaN,0.816450055376902,NaN
650,NaN,NaN,-0.0510772294295816,3.12276869760684,NaN,NaN,NaN,0.866344230374158
700,NaN,NaN,NaN,NaN,NaN,0.14212080237453,1.02500663362958,NaN
750,214.13395999195,0.11900196533687,NaN,NaN,1.586241133637,NaN,NaN,NaN
800,NaN,NaN,-0.103527799726458,2.39858479081583,NaN,NaN,NaN,0.875762208181716
850,NaN,NaN,NaN,NaN,NaN,0.285946924704486,0.989194820908051,NaN
900,225.931628530913,NaN,NaN,NaN,0.649111455152962,NaN,NaN,NaN
950,NaN,0.0433795038229347,-0.0722084511218329,2.17211893681406,NaN,NaN,NaN,NaN
1000,NaN,0.0183696573187388,NaN,2.06834182494003,1.6338747093367,0.162169501651389,0.903250295079371,1.04451582109817
1500,NaN,0.0057051796818318,NaN,1.44873044233506,NaN,-0.032917930656029,NaN,1.09056437357439
