t,S4_Obs,S2_S4_S4_Obs,ppS2_ppS2_S4_Obs,ppS3_ppS3_S4_Obs,ppS2_ppS3_S4_Obs,geneF_Obs,geneI_Obs,geneL_Obs
0,81.1879137868855,-0.166013215050745,-0.0379664463769857,0.0466433634898316,-0.15508963181921,0.873451700148298,1.20298763845551,0.827050395642194
9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.961321855287677
10,NaN,0.102684214305726,NaN,NaN,-0.165669997541984,NaN,NaN,NaN
15,82.7332466899218,NaN,0.0456497765284649,-0.278111593649709,NaN,0.903536138233019,1.0143260108331,NaN
20,NaN,0.0812279671208238,NaN,NaN,NaN,NaN,NaN,1.16208331719928
25,64.3634843602891,NaN,NaN,0.185376042359253,-0.0869943420666621,0.897692758620968,NaN,NaN
30,NaN,-0.0343134179406009,-0.196856515814139,NaN,NaN,NaN,0.993148608920914,0.936376030174458
40,48.807412264959,NaN,NaN,0.0512055346482663,0.0265607340672534,NaN,NaN,0.856193756519501
45,NaN,-0.103552945047772,NaN,NaN,NaN,0.720448523006422,NaN,NaN
50,NaN,NaN,0.248286454503361,NaN,NaN,NaN,0.872582053059545,NaN
55,NaN,NaN,NaN,NaN,-0.302851623855704,NaN,NaN,1.04170117171833
60,67.6351572027276,-0.116942825680348,NaN,-0.149087903804226,NaN,0.94751713821196,NaN,NaN
70,NaN,NaN,-0.0763064919750299,NaN,0.063300099129399,NaN,1.04419640866281,0.721302171063702
75,52.5582600358078,-0.0212569935007657,NaN,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,0.0446634574313561,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,NaN,1.26301172551472,NaN,NaN
90,NaN,-0.0139069385270239,NaN,NaN,-0.0250347504224269,NaN,NaN,NaN
100,81.5090238850215,NaN,-0.0643028729294417,0.0529390435598633,NaN,NaN,0.970012115275529,NaN
