t,S4_Obs,ppS3_Obs,ppS2_ppS3_S4_Obs,ppS2_S4_S4_Obs,geneF_Obs,geneI_Obs,geneJ_Obs,geneL_Obs
0,82.7651489378733,0.000350662251231212,0.0101583396149218,0.659559920735154,1.94789372345784,0.914662621717553,0.990737201332545,1.05765050480327
50,NaN,NaN,NaN,18.8832585858112,NaN,NaN,NaN,NaN
55,NaN,0.106447008313025,NaN,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,2.58599494341384,NaN,NaN,NaN,NaN,NaN
65,41.883925615163,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,9.22367826947654,0.877761526156506,0.489548099216629,0.505301772508488
100,NaN,0.103658400546014,NaN,18.0097929215681,NaN,NaN,NaN,NaN
150,28.08004234064,0.105615067606315,1.57254746289168,16.0689749477164,9.2270409696231,0.845432141823399,0.472085416809238,0.236702660664106
200,44.0184979324204,NaN,1.27184024651046,13.6283286850334,8.03511958678912,0.724284998391351,0.469450233567228,0.301644249669614
250,50.1423773753762,0.0828561046770364,0.875750075574958,12.2609070179848,NaN,NaN,NaN,NaN
300,NaN,0.104055913281311,NaN,NaN,8.1622051362779,0.545556611383297,0.567565985071176,0.295225318446924
350,70.3050000937329,NaN,0.450783137612104,6.97544564624464,NaN,0.669564545486758,NaN,NaN
400,NaN,0.0901295045753818,NaN,6.11105215424288,7.7055615847996,NaN,0.723483064688592,0.5665387518337
450,64.4878964092486,NaN,0.455683391278061,NaN,NaN,0.681595946737715,NaN,NaN
500,66.0449158658357,0.0950039656253927,NaN,4.01682105317896,5.3607742882001,NaN,0.92245984059373,0.837192940802984
550,NaN,NaN,0.211799997857857,3.0626063401773,NaN,NaN,NaN,NaN
600,NaN,0.0832277202274883,NaN,NaN,NaN,0.560894341919944,0.802449259284224,0.652843702689703
650,65.0586675264887,NaN,-0.0908012967036106,1.38643988810537,3.04900537917106,NaN,NaN,NaN
700,NaN,0.0693509151082905,NaN,NaN,NaN,0.499504587231207,0.720667045749843,0.786768021133578
750,59.4100548941363,NaN,NaN,NaN,NaN,NaN,NaN,NaN
800,NaN,NaN,0.178541625972785,2.43064195424735,2.59135034813288,NaN,NaN,NaN
850,NaN,0.0253623915763614,NaN,NaN,NaN,0.271155416372766,0.77551565932328,0.871331932357159
900,72.0845634462407,NaN,NaN,0.362480819216744,NaN,NaN,NaN,NaN
950,NaN,NaN,0.0906554799001147,NaN,NaN,NaN,NaN,NaN
1000,65.5442068013549,0.0340569321781047,-0.0964510366327099,0.707076908580049,1.09179030721774,0.101831289929415,1.12453698871303,1.08712514712187
1500,71.825189521868,NaN,NaN,0.804533538210816,NaN,0.217078713125295,0.837930752920224,0.881894210399326
