t,S4_Obs,ppS3_Obs,ppS2_ppS3_S4_Obs,geneD_Obs,geneF_Obs,geneI_Obs,geneJ_Obs,geneL_Obs
0,56.1891331935005,-0.000409025270959233,-0.143539985764064,1.54277391742406,2.0387708649825,1.0014720297761,1.09592798849022,1.068648249181
40,43.0005335763527,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,NaN,NaN,NaN,NaN,NaN,NaN,0.756647404458618,NaN
55,NaN,NaN,2.16957411008085,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,9.08744344608925,NaN,NaN,NaN
65,NaN,NaN,NaN,NaN,NaN,1.01249920626504,NaN,NaN
70,NaN,NaN,NaN,1.89921950613905,NaN,NaN,NaN,NaN
75,NaN,0.160826176426145,NaN,NaN,NaN,NaN,NaN,NaN
80,44.1986834156039,NaN,NaN,NaN,NaN,NaN,NaN,0.232126820461985
90,NaN,NaN,NaN,NaN,NaN,NaN,0.491544020730934,NaN
100,46.1686129181951,NaN,1.94275960834283,NaN,9.24238065416313,NaN,NaN,NaN
150,44.5970017877967,0.133668409113712,1.49184982068169,2.03515805103423,NaN,0.891812444006304,0.417730152803582,0.361182482290348
200,38.6344619791871,NaN,NaN,2.58690777923236,9.08270753368119,0.801867283711338,0.44520029237814,NaN
250,59.4374485701112,0.144443756101036,0.706645354125828,NaN,7.79780303497604,NaN,0.463922206617026,0.326381772718345
300,NaN,NaN,0.536792047008798,2.90058322977234,NaN,0.770453065543409,0.756632652821329,NaN
350,59.6800894265821,0.149707296918718,NaN,2.78864643379469,6.57631179307459,0.753613320753124,NaN,0.719799430435488
400,55.7624513434285,NaN,0.231883156748615,NaN,6.32598254461973,NaN,0.77296795604191,NaN
450,NaN,0.152241654522364,0.399314187229643,2.84751379128726,NaN,0.73689835818099,0.792541944079008,0.606972805294134
500,69.6013812154831,NaN,NaN,NaN,NaN,NaN,NaN,NaN
550,NaN,0.138932510394738,0.121732074933773,3.28514174757867,4.08034119354438,0.556784757222125,1.046807283012,0.663363432911148
600,67.1549569155606,NaN,NaN,NaN,NaN,NaN,NaN,NaN
650,NaN,NaN,NaN,NaN,3.56098894646145,NaN,1.00941466629775,0.798647591224549
700,70.5335018433743,0.0719273626904994,0.0144277186526646,2.64602199510463,NaN,0.491764025279584,NaN,NaN
800,NaN,NaN,-0.00218133157045839,NaN,2.2247180942926,NaN,0.814163795206189,0.972267909744521
850,74.0869743279282,0.0677785026688499,NaN,2.39554786716098,NaN,0.380383278579997,NaN,NaN
950,NaN,NaN,-0.198359310587122,NaN,NaN,NaN,NaN,NaN
1000,NaN,0.048039051063949,0.0931389109600995,2.10308212873735,1.68655577075552,0.146089013536066,NaN,1.13745855802432
1500,NaN,0.0219163105329211,NaN,1.46387247402392,NaN,0.164879242733349,NaN,1.04757791063043
