t,input_il6,nSTAT3_Obs,nSOCS3RNA2_Obs
85,0,16.0556036875387,0.000600924363022125
85,0,15.9199190967253,-0.000103168962593781
85,0.5,15.0207184063509,4.20809244721409e-06
85,0.5,16.5561531765723,0.000771149070804893
85,1,16.9914004787555,0.000465865251364769
85,1,17.2202204878369,0.00152332679531958
85,2.5,17.764934677747,0.0143831026304983
85,2.5,17.620200259568,0.0148673545925624
85,5,19.5452218237621,0.0155618648072739
85,5,19.0511374058659,0.0151845897739318
85,10,16.7941289874462,0.00403212318394672
85,10,17.1099113762038,0.00419053141818989
85,25,18.6278216663432,0.0114647556819459
85,25,18.9336126679335,0.0119985060005665
85,50,18.2415721242892,0.0102184488522088
85,50,18.3082016657796,0.011138559754892
85,100,18.5325695727419,0.00781948817082182
85,100,18.5765270986674,0.00816146600167535
85,500,21.2556454622484,0.0511270732037677
85,500,19.8438365418313,0.051456456500131
