t,nSTAT3_Obs,nSOCS3RNA2_Obs,SOCS3RNA_Obs
0,18.3132285175632,-0.0252333999784703,0.00446937836610299
10,41.0347380996999,3.75849957134649,NaN
20,26.9562832349798,1.71974899119494,0.250680164546116
30,17.2898490941024,0.0518388588752382,NaN
45,15.996328416668,0.0189514004373715,0.00751382391819663
55,NaN,0.00982005391764142,NaN
60,18.2787719026333,NaN,NaN
70,NaN,0.0594771395275284,0.000248369694500432
75,22.8367996556151,NaN,NaN
90,NaN,0.147867562864737,NaN
95,21.7558933148645,NaN,NaN
100,19.8894316094856,0.0428794697067013,0.00705267060503137
150,20.8246416881837,0.0345164367866907,0.00908612221196463
