t,input_il6,nSTAT3_Obs,nSOCS3RNA2_Obs
180,0.1,16.9592284089065,0.00441026280733337
180,0.1,17.7370672420465,0.0059342062081437
180,0.5,18.5904719684535,0.00702532894372936
180,0.5,19.3848948078418,0.00864180018272722
180,1,18.0698189434086,0.00936267129241956
180,1,17.9240929810841,0.0120446151184003
180,2.5,20.9138306996568,0.0470912126396833
180,2.5,19.8439015663927,0.041630431249659
180,5,21.7241024868163,0.188147927552884
180,5,24.5444447232021,0.190967725668852
180,10,19.3052620107644,0.0167168496885824
180,10,18.8937591261028,0.020465810750066
180,25,20.5873796863815,0.0616058603000117
180,25,21.8229381632889,0.0629620740058507
180,50,19.8335129221617,0.0275976422932491
180,50,18.859275473412,0.0296652376658264
180,100,22.8512013826877,0.129543402383489
180,100,23.5250081642108,0.129842776211467
180,500,19.0285838179938,0.04163271605024
180,500,19.3103397858631,0.0406311011432065
