t,input_il6,nSTAT3_Obs,nSOCS3RNA2_Obs
2700,0.1,16.9234309320061,0.000626930935289115
2700,0.1,17.3949162177033,0.00276289551029225
2700,0.5,17.936546653871,0.00619933861245242
2700,0.5,18.3770183979312,0.00656819002649887
2700,1,19.0506566707814,0.0110854367781698
2700,1,19.6642347725996,0.00843491440597399
2700,2.5,17.6566813330672,0.0203805366210786
2700,2.5,18.556482126573,0.0173485859120175
2700,5,20.0738617605322,0.0265851788245414
2700,5,20.2655400388124,0.0301541287685839
2700,10,19.6041726537836,0.0410273507562579
2700,10,20.1660178973759,0.0416091349460758
2700,25,20.9886935039563,0.0632764853023404
2700,25,21.9953630754797,0.0630596298727363
2700,50,21.4601542192574,0.0862654376259572
2700,50,22.6492541277037,0.0877303367671472
2700,100,21.7981754918705,0.10678213876639
2700,100,22.3595056361469,0.106260111245455
2700,500,18.4463731741975,0.0305709913057588
2700,500,18.7856340834544,0.0306167200550034
