t,input_ruxolitinib,SOCS3RNA_Obs
11,0,0.00015604382673385
11,0,0.000149734364958238
11,10,0.000153659323183987
11,50,0.000148928419369271
11,50,0.000146140634363563
11,100,0.000141258658310957
11,200,0.000146927602759204
11,200,0.000137124163598342
11,200,0.000149673396761551
11,200,0.000145491835484412
11,400,0.000140967294018887
11,500,0.0001479896340663
11,600,0.000146958842382079
11,800,0.000142944055345941
11,1000,0.000136353400820114
11,2000,0.000137584526459563
11,5000,0.000145474401428696
