t,input_ruxolitinib,SOCS3RNA_Obs
29,0,0.141427917159654
29,0,0.143863279726772
29,10,0.146080693226128
29,50,0.13994048434217
29,100,0.136046355865319
29,200,0.123841000248654
29,400,0.0940831658789298
29,400,0.0945453940680097
29,400,0.0976870827922854
29,400,0.0998732906924955
29,500,0.084578719452803
29,600,0.0728822396950311
29,800,0.0536291115415452
29,800,0.0560515206255948
29,800,0.0565688330291216
29,800,0.0573321776240488
29,1000,0.0426792744068146
29,2000,0.00420371789615827
29,5000,0.000195777499109049
