t,input_il6,nSTAT3_Obs,nSOCS3RNA2_Obs
220,0.1,16.7061665593079,0.000351303636969626
220,0.1,17.2264941554622,0.00100524661532336
220,0.5,16.7084025529715,0.000259308211490164
220,0.5,17.4555491343535,0.00257265090148121
220,1,18.1472505396625,0.00351236061521591
220,1,19.2283223385904,0.00695830784771233
220,2.5,18.5818965533637,0.00973309810070921
220,2.5,18.642552705247,0.00729069099981975
220,5,18.8354863350083,0.0178253988853865
220,5,19.3378237159682,0.0147980597943565
220,10,18.621702168984,0.0224358042174008
220,10,19.4615107138026,0.0256978772571561
220,25,20.3210374972302,0.041345939661373
220,25,20.6057384140775,0.0409720922834231
220,50,21.3060026484804,0.0573812192123322
220,50,22.0088687780658,0.0586019424134598
220,100,21.7364094152073,0.068626789194561
220,100,21.8758896966019,0.0664441348930434
220,500,24.7074413574215,0.266903219976958
220,500,24.9708027470177,0.267978569578417
