t,input_il6,nSTAT3_Obs,nSOCS3RNA2_Obs
34,0.1,15.5263813069924,0.000449677301838098
34,0.1,16.483563580844,-0.000532262015701446
34,0.5,17.387678472193,0.00134299574871092
34,0.5,16.7494314518317,0.000203941463258355
34,1,17.9809536261892,0.0047328151097354
34,1,18.4956653914852,0.0023341955498302
34,2.5,21.2863662836179,0.116915272672687
34,2.5,21.5242343910273,0.115416578299872
34,5,16.5087008605621,0.0187867003939551
34,5,16.5442313227513,0.0203574472098281
34,10,20.0943148538889,0.0233045998239811
34,10,18.8874594327663,0.0235794942884277
34,25,18.1072675441802,0.0588124974121631
34,25,18.251611011419,0.059910846551771
34,50,21.8908121624339,0.0780218902056437
34,50,21.3396514641549,0.0744271057408753
34,100,16.2732683242704,0.0297383491284921
34,100,17.4577250257135,0.0283625310825769
34,500,16.9286597488937,0.00816492212999965
34,500,16.2732498848217,0.00892257116684046
