t,TGFb_Obs,ppS2_ppS2_ppS3_Obs,ppS3_S4_S4_Obs
0,-0.340814615431317,-0.0361705350896425,-0.0321793052149626
15,-0.076933335973107,0.178355952972957,-0.0976799545922599
25,-0.0546140177778071,NaN,NaN
30,NaN,-0.0178887956321937,NaN
35,NaN,NaN,-0.0200918602293357
40,0.0105396506876631,NaN,NaN
50,NaN,-0.0753543418394708,0.226122347639354
55,-0.163901894606041,NaN,NaN
70,NaN,0.0306405817778649,-0.104634511475227
75,-0.14979521940973,NaN,NaN
90,NaN,0.184776430369662,NaN
95,-0.0888377390488003,NaN,-0.0199649681691705
100,0.00112064316592474,0.138694027392142,0.0515770901258983
150,-0.0562641942968035,0.303651955848476,0.0560895035619841
200,NaN,-0.0351482947851267,0.0337869667392845
