t,S2_Obs,pS2_Obs,geneD_Obs,geneJ_Obs
0,139.631665690602,0.881820997570701,0.99797066853245,0.968305307276298
15,89.279249287755,NaN,NaN,NaN
30,74.0641239628534,18.7907287568503,NaN,NaN
35,NaN,NaN,NaN,0.557447852694507
45,87.939827527775,NaN,NaN,NaN
60,NaN,18.7948331853834,NaN,NaN
65,67.7783145156621,NaN,NaN,NaN
70,NaN,NaN,NaN,0.480572049034393
75,NaN,NaN,1.20506168462799,NaN
85,102.528420409399,NaN,NaN,NaN
90,NaN,13.6140344999713,NaN,NaN
100,105.227540799328,NaN,NaN,0.687681776542167
150,113.314973750185,4.61394158483793,0.917524868252514,0.64928411144085
200,NaN,-0.386637606890107,NaN,0.77625457304703
250,NaN,NaN,1.19542603688763,0.954946520291437
300,NaN,0.361696170685547,1.26470206716151,0.972912455149563
350,NaN,NaN,NaN,0.819824727428292
400,NaN,NaN,1.01119747278421,NaN
450,NaN,NaN,NaN,1.16459235869983
500,NaN,NaN,1.20092218510701,NaN
550,NaN,NaN,NaN,0.779947029990812
650,NaN,NaN,1.12540985773433,NaN
800,NaN,NaN,0.785308147717386,NaN
1000,NaN,NaN,1.09293695794877,NaN
1500,NaN,NaN,0.919851804961538,NaN
