t,S2_Obs,pS2_Obs,geneD_Obs,geneJ_Obs
0,296.440523309026,1.61765567820824,0.831255657286431,1.01699699154415
15,179.0586301877,NaN,NaN,NaN
30,125.200104866654,39.7478612404409,NaN,NaN
35,NaN,NaN,NaN,0.883058020268145
50,156.69104800965,NaN,NaN,NaN
60,NaN,34.8816533082001,NaN,NaN
65,178.126008499663,NaN,1.19597614383296,NaN
70,NaN,NaN,NaN,0.875238795722567
90,204.355521415542,24.2013174652578,NaN,NaN
100,259.68829935824,NaN,NaN,0.706166471856883
150,252.26568481665,8.84904146399372,1.08755473155983,0.79120890963024
200,284.342735189938,4.62898445937446,1.1552919913581,0.851742718213999
250,NaN,NaN,NaN,1.11785196472611
300,NaN,0.656929358798955,1.25579099768917,1.07717350089583
350,NaN,NaN,1.30043623103636,1.15589187167585
450,NaN,NaN,1.02239354671199,1.22739916347994
500,NaN,NaN,NaN,1.05567286052223
550,NaN,NaN,0.985670465136769,NaN
600,NaN,NaN,NaN,0.844798337390568
700,NaN,NaN,1.14843748694035,NaN
850,NaN,NaN,0.771114381513907,NaN
1000,NaN,NaN,0.884808604546291,NaN
1500,NaN,NaN,1.09345587547482,NaN
